movie_id,movies,liked
0,Underworld: Blood Wars,
1,Arsenal,
2,Between Us,
3,Railroad Tigers,
4,Monster Trucks,
5,The Bye Bye Man,
6,Sleepless,
7,100 Streets,
8,The Book of Love,
9,Split,1
10,xXx: Return of Xander Cage,
11,The Resurrection of Gavin Stone,
12,Trespass Against Us,
13,Detour,
14,The Red Turtle,
15,Sophie and the Rising Sun,
16,A Dog's Purpose,0
17,Resident Evil: The Final Chapter,
18,Lost in Florence,
19,I Am Michael,
20,iBoy,
21,Rings,
22,The Space Between Us,
23,Youth in Oregon,
24,War on Everyone,
25,I Am Not Your Negro,
26,The Lego Batman Movie,1
27,Fifty Shades Darker,0
28,John Wick: Chapter 2,
29,The Great Wall,0
30,A Cure for Wellness,
31,Fist Fight,
32,A United Kingdom,
33,American Fable,
34,Get Out,
35,Rock Dog,
36,Collide,
37,The Girl with All the Gifts,
38,Logan,1
39,The Shack,
40,Before I Fall,
41,Table 19,
42,The Last Word,
43,Catfight,
44,Sword Art Online The Movie: Ordinal Scale,
45,Kong: Skull Island,1
46,The Sense of an Ending,
47,Raw,
48,Personal Shopper,
49,The Ottoman Lieutenant,
50,Frantz,1
51,Beauty and the Beast,
52,The Belko Experiment,
53,T2 Trainspotting,1
54,Song to Song,0
55,Atomica,
56,All Nighter,
57,Power Rangers,0
58,Life,
59,CHiPs,0
60,Wilson,
61,Ghost in the Shell,
62,The Boss Baby,0
63,The Zookeeper's Wife,0
64,The Blackcoat's Daughter,
65,The Case for Christ,
66,Smurfs: The Lost Village,
67,Going in Style,0
68,Colossal,
69,Gifted,
70,Aftermath,
71,Your Name,
72,The Fate of the Furious,0
73,Spark,
74,The Lost City of Z,1
75,My Entire High School Sinking Into the Sea,
76,The Outcasts,
77,Born in China,
78,Unforgettable,
79,Free Fire,
80,The Promise,
81,The Circle,
82,How to Be a Latin Lover,
83,Baahubali 2: The Conclusion,
84,Sleight,
85,Dangal,
86,Guardians of the Galaxy Vol. 2,1
87,The Lovers,
88,3 Generations,
89,King Arthur: Legend of the Sword,0
90,Snatched,
91,Lowriders,
92,The Wall,
93,Paris Can Wait,
94,Alien: Covenant,1
95,Diary of a Wimpy Kid: The Long Haul,
96,"Everything, Everything",
97,Wakefield,
98,Baywatch,
99,Pirates of the Caribbean: Dead Men Tell No Tales,
100,Buena Vista Social Club: Adios,
101,Wonder Woman,1
102,Captain Underpants: The First Epic Movie,
103,Dean,
104,The Mummy,
105,It Comes at Night,1
106,My Cousin Rachel,
107,Megan Leavey,
108,Beatriz at Dinner,
109,Cars 3,
110,Rough Night,
111,All Eyez on Me,
112,47 Meters Down,
113,The Book of Henry,
114,Transformers: The Last Knight,1
115,The Beguiled,1
116,The Big Sick,
117,The Bad Batch,
118,Baby Driver,1
119,Okja,1
120,Despicable Me 3,1
121,The House,
122,The Little Hours,
123,2:22,
124,A Ghost Story,
125,Spider-Man: Homecoming,0
126,War for the Planet of the Apes,1
127,Wish Upon,
128,Dunkirk,
129,Valerian and the City of a Thousand Planets,
130,Girls Trip,
131,Atomic Blonde,
132,The Emoji Movie,
133,An Inconvenient Sequel: Truth to Power,
134,Brigsby Bear,
135,The Dark Tower,
136,Detroit,
137,Wind River,
138,Annabelle: Creation,
139,The Glass Castle,
140,The Nut Job 2: Nutty by Nature,
141,Ingrid Goes West,
142,The Hitman's Bodyguard,
143,Logan Lucky,
144,Patti Cake$,
145,All Saints,
146,Leap!,
147,Renegades,
148,Animal Crackers,
149,It,
150,Home Again,
151,The Good Catholic,
152,Gun Shy,
153,American Assassin,
154,All I See Is You,
155,Brad's Status,
156,Kingsman: The Golden Circle,
157,The Lego Ninjago Movie,
158,Stronger,
159,Battle of the Sexes,
160,Victoria and Abdul,
161,American Made,
162,Flatliners,
163,Blade Runner 2049,
164,The Mountain Between Us,
165,My Little Pony: The Movie,
166,The Florida Project,
167,Outrage 0 Coda,
168,Mother!,
169,Happy Death Day,
170,Goodbye Christopher Robin,
171,Marshall,
172,The Snowman,
173,Geostorm,
174,Granite Mountain,
175,Boo 2! A Madea Halloween,
176,Leatherface,
177,Same Kind of Different as Me,
178,The War with Grandpa,
179,Thank You for Your Service,
180,God Particle,
181,Novitiate,
182,Professor Marston & the Wonder Women,
183,Jigsaw,
184,Thor: Ragnarok,
185,Suburbicon,
186,A Bad Moms Christmas,
187,The Killing of a Sacred Deer,
188,The Man Who Invented Christmas,
189,Murder on the Orient Express,
190,The Star,
191,Daddy's Home 2,
192,LBJ,
193,"Three Billboards Outside Ebbing, Missouri",
194,Justice League,
195,Wonder,
196,Padmavati,
197,Coco,
198,Darkest Hour,
199,Molly's Game,
200,Villa Capri,
201,Death Wish,
202,Mary Magdalene,
203,Call Me by Your Name,
204,The Disaster Artist,
205,Wonder Wheel,
206,Pickings,
207,The Shape of Water,
208,Star Wars: The Last Jedi,
209,Ferdinand,
210,Jumanji: Welcome to the Jungle,
211,Pitch Perfect 3,
212,Downsizing,
213,Bastards,
214,The Current War,
215,The Papers,
216,The Greatest Showman,
217,Phantom Thread,